model,rmse,mae,r2,params,epochs,time,dataset
MLP,0.006227564997971058,0.004883867688477039,0.8498389645207616,123393,37,86.41723537445068,Cylinder_Wake
LSTM,0.005108201410621405,0.0040843249298632145,0.8989685132898546,211073,75,210.13612127304077,Cylinder_Wake
BiLSTM,0.005108130630105734,0.004084290470927954,0.8989713235057455,553089,63,215.00420379638672,Cylinder_Wake
CNN-LSTM,0.005196060054004192,0.004149223677814007,0.8954632541830974,79489,37,126.4027054309845,Cylinder_Wake
Transformer,0.005098358262330294,0.004084649961441755,0.8993574956908675,412033,37,251.784077167511,Cylinder_Wake
Vanilla FCN,0.005136861931532621,0.004104160238057375,0.8978316293316344,102977,43,141.34521579742432,Cylinder_Wake
MLP,0.1035408079624176,0.0759071484208107,0.9393795589917153,164353,100,503.9215395450592,Building_Energy
LSTM,0.08318734169006348,0.051433220505714417,0.9608699418324135,212097,86,558.8812456130981,Building_Energy
BiLSTM,0.07955597341060638,0.05242667719721794,0.9642116598249691,555137,67,556.3442077636719,Building_Energy
CNN-LSTM,0.08737830072641373,0.05652328580617905,0.9568278987671225,80129,57,419.86587619781494,Building_Energy
Transformer,0.0836634561419487,0.05170564353466034,0.9604207495625099,413313,82,1204.9246053695679,Building_Energy
Vanilla FCN,0.07963433861732483,0.050444044172763824,0.9641411199615142,103873,74,503.90158772468567,Building_Energy
