ablation,ablation_tag,dataset,run_id,RMSE,MAE,R2,MonoViol,SlopeRMSE,NASAScore,epochs_trained,best_val_loss,top_eig_mags,eig_recovery,description
A: Baseline FCN,A_baseline_fcn,CMAPSS_FD004,0,17.218183517456055,12.780149459838867,0.8377821608622463,1.3754207681761839,24.530859042116184,1555.964775497927,200,124.93199157714844,"[0.0, 0.0, 0.0, 0.0, 0.0]",,"Vanilla Conv1D + SE + dual pooling, MSE loss only"
B: w/o Spectral,B_no_spectral,CMAPSS_FD004,0,17.47347068786621,13.056269645690918,0.8329362175112963,1.7020741587058776,26.614183901087664,1512.489991217424,158,2.156632661819458,"[0.9997915625572205, 0.30476292967796326, 0.2551687955856323, 0.2551687955856323, 0.24207423627376556]",,KePIN with spectral stability loss disabled
C: w/o Multi-step,C_no_multistep,CMAPSS_FD004,0,17.011274337768555,12.355489730834961,0.8416574581489826,1.080467871797944,24.977284785335428,1390.1408159208772,170,1.76689612865448,"[0.9987622499465942, 0.4878111481666565, 0.41002047061920166, 0.26272255182266235, 0.2504419982433319]",,KePIN without multi-step rollout loss
D: w/o Auto-Wt,D_no_autoweight,CMAPSS_FD004,0,18.9652099609375,13.645889282226562,0.8031936012321762,1.123845154278374,27.11895093713286,1842.3596449678719,102,160.32530212402344,"[1.0588396787643433, 0.9951299428939819, 0.9196441769599915, 0.8713427186012268, 0.6373051404953003]",,KePIN with fixed weights (no Kendall uncertainty)
E: KePIN Full,E_kepin_full,CMAPSS_FD004,0,16.829486846923828,11.852261543273926,0.8450235333060709,1.5971812120766222,25.577322764448468,1698.6143678257097,172,1.997147798538208,"[1.0001773834228516, 0.31427422165870667, 0.23910307884216309, 0.23910307884216309, 0.22425198554992676]",,Full KePIN with all components (proposed method)
